Date,BAC,National,Diamond,Pearce
1/1/2014,10692.08333,11023.46875,11301.04167,11391.0123
1/2/2014,12264.375,11434.86458,11382.29167,12079.3248
1/3/2014,13866.66667,13900.125,12994.79167,13972.6755
1/4/2014,14055.20833,14221.875,14841.66667,14758.39772
1/5/2014,13327.08333,13804.91667,15026.04167,14438.16161
1/6/2014,12591.66667,13321.66667,14239.58333,13769.78661
1/7/2014,14090.625,14053.6875,13489.58333,14263.44633
1/8/2014,14078.125,14490.65625,15083.33333,14936.18591
1/9/2014,14013.54167,14304.72917,15059.375,14844.69633
1/10/2014,13993.75,14385.96875,15007.29167,14847.81786
1/11/2014,14021.875,14372.94792,15005.20833,14852.15814
1/12/2014,13272.91667,13803.04167,15043.75,14425.38383
1/13/2014,12623.95833,13114.10417,14171.875,13688.79355
1/14/2014,14194.79167,14237.41667,13497.91667,14362.18939
1/15/2014,13895.83333,14390.15625,15200,14880.81091
1/16/2014,13917.70833,14233.125,14895.83333,14734.36994
1/17/2014,13896.875,14272.45833,14901.04167,14742.27272
1/18/2014,13905.20833,14269.32292,14889.58333,14740.18591
1/19/2014,13129.16667,13776.20833,14904.16667,14321.99494
1/20/2014,12335.41667,12811.64583,14044.79167,13449.43244
1/21/2014,13922.91667,13945.38542,13187.5,14070.74842
1/22/2014,13985.41667,14300.30208,14926.04167,14789.40119
1/23/2014,13765.625,14307.26042,14994.79167,14741.37342
1/24/2014,13923.95833,14152.64583,14777.08333,14670.04355
1/25/2014,13965.625,14294.29167,14938.54167,14784.96717
1/26/2014,13198.95833,13815.53125,14963.54167,14378.15814
1/27/2014,12445.83333,13022.8125,14125,13583.363
1/28/2014,13845.83333,13793.91667,13329.16667,14041.78661
1/29/2014,14279.16667,14441.60417,14807.29167,14894.83522
1/30/2014,14417.70833,14804.70833,15325,15234.61994
1/31/2014,14550,14808.98958,15538.54167,15351.3248
2/1/2014,14284.375,14855.10417,15659.375,15318.43244
2/2/2014,10940.52083,12938.95833,15358.33333,13464.75188
2/3/2014,10265.9375,10849.61458,11838.54167,11370.17897
2/4/2014,11402.29167,11197.1875,11039.58333,11598.50189
2/5/2014,11777.08333,12008.46875,12127.08333,12356.35952
2/6/2014,11567.70833,12073.71875,12555.20833,12451.02619
2/7/2014,11602.08333,11948.54167,12361.45833,12356.1755
2/8/2014,11690.625,12041.39583,12373.95833,12420.80744
2/9/2014,10843.75,11702.98958,12454.16667,12052.4498
2/10/2014,10486.04167,10879.89583,11597.91667,11373.43244
2/11/2014,11714.58333,11562.47917,11197.91667,11877.14078
2/12/2014,11717.70833,12073.91667,12419.79167,12455.95328
2/13/2014,11669.79167,12066.08333,12471.875,12454.73105
2/14/2014,11714.58333,12038.30208,12436.45833,12448.59563
2/15/2014,11768.75,12112.33333,12470.83333,12502.78661
2/16/2014,10854.6875,11692.30208,12521.875,12075.10258
2/17/2014,10328.125,10906.75,11582.29167,11324.53661
2/18/2014,11684.375,11374.9375,11037.5,11751.08522
2/19/2014,11761.45833,12149.07292,12382.29167,12483.08869
2/20/2014,11638.54167,12035.42708,12495.83333,12442.08175
2/21/2014,11680.20833,12109.95833,12389.58333,12445.39772
2/22/2014,11642.08333,11944.63542,12452.08333,12398.41508
2/23/2014,10754.58333,11591.08333,12394.79167,11965.63383
2/24/2014,10393.54167,10770,11485.41667,11268.46717
2/25/2014,11691.66667,11452.95833,11095.83333,11798.96716
2/26/2014,11666.77083,12034.82292,12442.70833,12433.58175
2/27/2014,11547.08333,11998.40426,12503.125,12401.68525
2/28/2014,11598.85417,12155.17708,12337.5,12415.99147
3/1/2014,11560.625,12197,12456.25,12456.77272
3/2/2014,8673.4375,10813.47917,12421.875,11021.74494
3/3/2014,8134.895833,8763.583333,9595.208333,9216.710219
3/4/2014,8723.125,8850.729167,8913.020833,9214.439386
3/5/2014,9228.020833,9114.71875,9359.6875,9619.623414
3/6/2014,9455.9375,10171.30208,9775.729167,10186.47064
3/7/2014,9061.041667,9613.197917,10156.45833,9995.713691
3/8/2014,8901.979167,9322.15625,9698.125,9692.901192
3/9/2014,8462.708333,9099.59375,9547.395833,9422.047025
3/10/2014,8140,8717.802083,9149.0625,9054.435914
3/11/2014,8791.666667,8934.583333,8848.958333,9243.883831
3/12/2014,8763.958333,9180.770833,9387.8125,9496.328275
3/13/2014,8856.666667,9216.291667,9378.125,9535.842164
3/14/2014,8881.25,9270.583333,9458.125,9588.800497
3/15/2014,8861.458333,9254.052083,9515.416667,9595.790081
3/16/2014,8573.020833,9114.40625,9419.0625,9420.977581
3/17/2014,8300.520833,8896.802083,9188.645833,9180.803969
3/18/2014,8694.0625,8791.46875,8995.520833,9212.498414
3/19/2014,8893.541667,9224.072917,9258.541667,9510.86647
3/20/2014,8898.125,9351.364583,9407.916667,9604.61647
3/21/2014,8846.041667,9257.552083,9461.354167,9573.797025
3/22/2014,8805,9232.0625,9412.291667,9535.265775
3/23/2014,8432.083333,8913.96875,9352.708333,9285.067858
3/24/2014,8262.916667,8776.34375,9018.229167,9071.310914
3/25/2014,8829.583333,8895.927083,8884.375,9255.442858
3/26/2014,8856.458333,9301.4375,9348.645833,9554.328275
3/27/2014,8901.770833,9230.083333,9351.979167,9546.758831
3/28/2014,8675.625,9169.302083,9433.645833,9478.338692
3/29/2014,8536.25,8879.083333,9207.8125,9259.862997
3/30/2014,8462.8125,8820.708333,9041.770833,9160.578275
3/31/2014,8323.229167,8826.40625,8956.666667,9087.581748
4/1/2014,8632.083333,8857.291667,8893.75,9179.856053
4/2/2014,8982.604167,8895.90625,9158.645833,9397.86647
4/3/2014,9154.166667,9507.78125,9471.979167,9763.456748
4/4/2014,9206.25,9604.354167,9704.479167,9890.508831
4/5/2014,9105.520833,9592.604167,9726.354167,9860.307442
4/6/2014,8259.270833,9257.177083,9647.604167,9440.165081
4/7/2014,7901.458333,8554.479167,8864.270833,8825.550497
4/8/2014,9086.25,8421.489583,8544.791667,9069.658136
4/9/2014,10316.25,9963.854167,9423.958333,10286.83522
4/10/2014,9394.791667,10309.77083,10696.25,10519.08522
4/11/2014,9377.8125,9601.260417,9788.541667,9974.685914
4/12/2014,9378.958333,9530.28125,9700.3125,9921.998414
4/13/2014,8465.3125,9380.791667,9700.520833,9567.689386
4/14/2014,8028.229167,8554.03125,8900.833333,8879.845636
4/15/2014,9292.5,8489.572917,8493.854167,9144.123414
4/16/2014,9338.125,9556.583333,9603.645833,9884.932442
4/17/2014,9243.75,9521.583333,9831.145833,9917.640775
4/18/2014,9276.354167,9504.583333,9878.75,9938.71022
4/19/2014,9404.375,9517.40625,9909.6875,9995.970636
4/20/2014,8453.75,9491.104167,10018.125,9706.474109
4/21/2014,8061.5625,8599.5625,9162.083333,8993.217164
4/22/2014,9390.833333,8453.729167,8775.208333,9258.737997
4/23/2014,9368.333333,9688.614583,9806.979167,10006.79008
4/24/2014,9151.979167,9560.375,9943.4375,9937.411609
4/25/2014,9196.770833,9409.21875,9755.416667,9839.283136
4/26/2014,9305.833333,9496.354167,9762.708333,9907.112997
4/27/2014,8328.125,9244.427083,9849.791667,9526.262303
4/28/2014,7964.583333,8512.291667,8973.75,8869.02272
4/29/2014,9139.791667,8265.4375,8674.0625,9078.578275
4/30/2014,9307.5,9490.604167,9566.458333,9840.33522
5/1/2014,9262.395833,9579.5625,9826.354167,9941.58522
5/2/2014,8961.354167,9229.270833,9813.020833,9720.029664
5/3/2014,8999.270833,9235.333333,9491.458333,9627.501886
5/4/2014,8261.875,9103.145833,9537.604167,9353.02272
5/5/2014,7831.979167,8462.697917,8861.875,8770.998414
5/6/2014,8911.458333,8073.041667,8522.083333,8887.675497
5/7/2014,9053.854167,9263.40625,9245.729167,9573.144248
5/8/2014,9051.666667,9287.729167,9548.125,9681.321331
5/9/2014,9005.104167,9179.385417,9564.6875,9635.206748
5/10/2014,9070,9298.666667,9489.479167,9671.529664
5/11/2014,8236.25,9190.135417,9556.145833,9379.658136
5/12/2014,7955.520833,8420.520833,8804.791667,8779.092164
5/13/2014,8797.5,8086.270833,8589.791667,8876.668553
5/14/2014,8918.958333,9169.354167,9128.229167,9457.661609
5/15/2014,8996.666667,9171.822917,9396.458333,9573.797025
5/16/2014,9010.416667,9234.583333,9439.791667,9613.744942
5/17/2014,9126.145833,9248.135417,9475.3125,9668.67897
5/18/2014,8175.625,9210.572917,9573.4375,9372.026192
5/19/2014,7591.354167,8307.020833,8679.375,8578.064386
5/20/2014,8373.229167,7678.833333,8276.145833,8494.883831
5/21/2014,8492.604167,8714.760417,8607.5,8990.435914
5/22/2014,8609.583333,8720.71875,8916.041667,9134.262303
5/23/2014,8554.6875,8806.78125,9039.166667,9185.692859
5/24/2014,8533.4375,8788.75,8971.145833,9149.925497
5/25/2014,7884.791667,8683.09375,8991.875,8905.401192
5/26/2014,7578.854167,8022.166667,8460.9375,8406.133831
5/27/2014,7500.9375,7665.052083,8246.5625,8189.665081
5/28/2014,8448.4375,7759.791667,8097.1875,8487.286609
5/29/2014,8505.625,8808.177083,8706.25,9058.831747
5/30/2014,8561.25,8669.947917,8968.854167,9118.831748
5/31/2014,8678.854167,8920.65625,8978.125,9244.692859
6/1/2014,8041.458333,8775.75,9071.458333,9015.036608
6/2/2014,9071.041667,8499.260417,8508.125,9078.290081
6/3/2014,11329.27083,9983.177083,9236.25,10568.38036
6/4/2014,11440.625,11609.47917,11590.52083,11932.35605
6/5/2014,11355.10417,11604.38542,11797.5,11971.14425
6/6/2014,11301.97917,11589.70833,11744.58333,11930.90466
6/7/2014,11225.72917,11461.1875,11727.1875,11856.84911
6/8/2014,9743.541667,10920.40625,11630.3125,11150.23453
6/9/2014,9087.916667,9856.677083,10184.27083,10095.10258
6/10/2014,11088.54167,9773.760417,9532.083333,10516.94286
6/11/2014,11440,11483.86458,11430.10417,11836.80397
6/12/2014,11421.35417,11683.125,11875.52083,12045.48105
6/13/2014,11349.0625,11603.46875,11879.47917,11996.15119
6/14/2014,11500.625,11580.27083,11795.625,12010.988
6/15/2014,9997.395833,11211.40625,11951.5625,11438.93591
6/16/2014,9171.666667,10070.61458,10466.77083,10288.49841
6/17/2014,11292.8125,9906.010417,9627.083333,10660.78314
6/18/2014,11307.70833,11518.42708,11713.75,11898.77619
6/19/2014,11318.02083,11587.98958,11815,11959.15119
6/20/2014,11468.22917,11626.33333,11853.95833,12034.988
6/21/2014,11362.5,11659.83333,12028.75,12069.1755
6/22/2014,9935.3125,11056.85417,11928.4375,11359.01578
6/23/2014,9206.666667,10144.29167,10545.83333,10351.07828
6/24/2014,11178.02083,9908.895833,9782.604167,10675.32133
6/25/2014,11370.72917,11567.88542,11689.16667,11928.07481
6/26/2014,11302.1875,11649.23958,11977.5,12028.45675
6/27/2014,11202.70833,11494.61458,11935.20833,11929.65813
6/28/2014,11368.33333,11615.67708,11869.0625,12003.17202
6/29/2014,9989.895833,11164.61458,12050,11453.65119
6/30/2014,9269.6875,10137.54167,10683.22917,10415.63383
7/1/2014,11353.85417,9960.895833,9798.541667,10756.57828
7/2/2014,14008.33333,12877.14583,11404.27083,13148.73105
7/3/2014,14152.08333,14442.55208,13948.95833,14566.67897
7/4/2014,14130.20833,14447.70833,14243.75,14659.36994
7/5/2014,12759.375,13719.72917,14311.45833,13982.33522
7/6/2014,13159.375,13195.66667,12766.66667,13426.0505
7/7/2014,12942.70833,13437.38542,13209.375,13581.97064
7/8/2014,14089.58333,13754.65625,12981.25,13993.97758
7/9/2014,14059.375,14573.64583,14230.20833,14673.22411
7/10/2014,14113.54167,14459.67708,14953.125,14894.2623
7/11/2014,14191.66667,14527.61458,14842.70833,14906.14425
7/12/2014,14110.41667,14498.35417,14798.95833,14854.72411
7/13/2014,13147.91667,13905.69792,14706.25,14305.43592
7/14/2014,12747.91667,13280.38542,13582.29167,13589.01231
7/15/2014,14403.125,13829.3125,13166.66667,14185.18244
7/16/2014,14396.875,15024.46875,15021.875,15199.8873
7/17/2014,14178.125,14427.14583,14998.95833,14920.22411
7/18/2014,14107.29167,14460.58333,14691.66667,14805.32828
7/19/2014,14225,14466.09375,14635.41667,14827.65119
7/20/2014,13440.625,13899.41667,14816.66667,14437.71717
7/21/2014,13020.83333,13684.82292,13908.33333,13923.47758
7/22/2014,14175,13802.85417,13450,14194.76578
7/23/2014,14180.20833,14627.67708,14765.625,14909.98452
7/24/2014,14222.91667,14673.92708,14782.29167,14945.19286
7/25/2014,14220.83333,14419.3125,14804.16667,14866.91855
7/26/2014,14103.125,14442.20833,14769.79167,14823.85605
7/27/2014,13112.5,13837.40625,14703.125,14269.8248
7/28/2014,12654.16667,13273.125,13627.08333,13570.27272
7/29/2014,13958.33333,13834.94792,13267.70833,14072.47758
7/30/2014,13961.45833,14243.46875,14486.45833,14615.94286
7/31/2014,13889.58333,14205.34375,14472.91667,14574.7623
8/1/2014,13765.625,14193.35417,14450,14521.80744
8/2/2014,14187.5,14437.59375,14342.70833,14708.08175
8/3/2014,12940.625,13898.35417,14831.25,14275.55744
8/4/2014,12981.25,13562.35417,13973.95833,13891.33522
8/5/2014,14479.16667,14219.47917,13426.04167,14427.04356
8/6/2014,14580.20833,14849.86458,15036.45833,15207.65813
8/7/2014,14416.66667,14801.4375,15188.54167,15187.69633
8/8/2014,14653.125,14843.05208,14931.25,15194.62341
8/9/2014,14408.33333,14809.02083,15183.33333,15185.71022
8/10/2014,13189.58333,14024.38542,14945.83333,14438.74841
8/11/2014,12562.5,13139.79167,13588.54167,13482.4255
8/12/2014,14235.41667,13808.29167,12902.08333,14034.07828
8/13/2014,14338.54167,14594.04167,14726.04167,14938.35606
8/14/2014,14525,14745.1875,14911.45833,15112.69633
8/15/2014,14365.625,14831.67708,15056.25,15136.66508
8/16/2014,14391.66667,14626.40625,14917.70833,15030.74147
8/17/2014,13246.875,14103.95833,14978.125,14495.13383
8/18/2014,12601.04167,13217.29167,13677.08333,13550.61994
8/19/2014,14254.16667,14365.97917,13640.625,14472.40467
8/20/2014,14381.25,14652.6875,14830.20833,15006.863
8/21/2014,14529.16667,15005.375,15017.70833,15236.23105
8/22/2014,14297.91667,14654.95833,15111.45833,15073.59216
8/23/2014,14378.125,14709.58333,14856.25,15033.46716
8/24/2014,13250,14166.06818,14885.41667,14485.976
8/25/2014,12512.5,12996.625,13656.25,13440.60605
8/26/2014,14518.75,14135.28125,13017.70833,14276.06091
8/27/2014,14505.20833,15056.64211,15240.625,15319.63953
8/28/2014,15029.16667,15156.38542,15051.04167,15464.34564
8/29/2014,14318.75,14880.25,15583.33333,15312.9255
8/30/2014,14107.29167,14418.14583,14777.08333,14819.65466
8/31/2014,13216.66667,13825.26042,14555.20833,14251.19286
9/1/2014,12345.83333,12950.92708,13570.83333,13341.34563
9/2/2014,10086.5625,11679.09375,12706.25,11876.11647
9/3/2014,11141.04167,10958.92708,10516.66667,11257.69286
